bs,M,D,k,torch_ms,raft_ms,faiss_ms,flashlib_ms,flat_ms,flat_median_ms,flat_min_ms,flat_max_ms,flat_peak_gb,flat_num_warps
1,1000000,768,100,20.63,20.68,13.03,7.62,5.329591,5.329488,5.317632,5.343232,3.072545,8
1,1000000,768,128,NA,NA,NA,NA,5.336559,5.334016,5.324768,5.446720,3.072581,4
1,1000000,768,512,20.64,20.66,13.65,12.31,5.367100,5.366784,5.359392,5.379072,3.073081,4
1,1000000,768,1024,NA,NA,NA,NA,5.339747,5.339232,5.329920,5.351584,3.073749,8
1,1000000,768,2048,20.63,20.66,20.14,NA,5.377092,5.378048,5.362688,5.386240,3.075084,8
1,1000000,768,4096,20.63,20.66,NA,NA,5.381207,5.380208,5.374976,5.395456,3.077755,8
1,1000000,768,10000,20.64,20.66,NA,NA,5.397140,5.397504,5.385216,5.412928,3.085456,8
1,1000000,768,20000,NA,NA,NA,NA,5.334822,5.334016,5.324800,5.360640,3.098429,8
1,1000000,768,40000,20.64,20.67,NA,NA,5.336838,5.337040,5.328896,5.351552,3.124508,8
8,1000000,768,100,21.84,21.65,13.81,7.83,5.361139,5.360640,5.352448,5.376000,3.073021,8
8,1000000,768,128,NA,NA,NA,NA,5.366356,5.365792,5.355520,5.380096,3.073061,8
8,1000000,768,512,21.85,22.28,14.43,13.08,5.393619,5.393408,5.382080,5.409568,3.073626,8
8,1000000,768,1024,NA,NA,NA,NA,5.378031,5.377520,5.363712,5.397504,3.074380,4
8,1000000,768,2048,21.84,22.29,20.75,NA,5.408117,5.408768,5.388288,5.417984,3.075887,4
8,1000000,768,4096,21.85,22.29,NA,NA,5.450339,5.450144,5.438464,5.465088,3.079209,8
8,1000000,768,10000,21.85,22.30,NA,NA,5.489871,5.488752,5.473280,5.515264,3.088998,8
8,1000000,768,20000,NA,NA,NA,NA,5.454049,5.452848,5.433536,5.495808,3.105933,8
8,1000000,768,40000,21.88,22.37,NA,NA,5.516324,5.515776,5.495904,5.551104,3.137497,8
64,1000000,768,100,27.99,25.90,16.52,20.65,8.172720,8.167488,7.518208,8.251392,3.077432,8
64,1000000,768,128,NA,NA,NA,NA,8.157901,8.164352,7.495680,8.252416,3.077612,8
64,1000000,768,512,28.00,32.97,17.25,83.83,8.220600,8.229888,7.567360,8.325120,3.080069,8
64,1000000,768,1024,NA,NA,NA,NA,8.302617,8.303616,7.651328,8.390624,3.083407,8
64,1000000,768,2048,27.97,33.00,23.90,NA,8.413092,8.420832,7.693344,8.738880,3.090223,8
64,1000000,768,4096,28.00,33.07,NA,NA,8.635157,8.614912,7.960576,10.049536,3.105505,8
64,1000000,768,10000,28.01,33.21,NA,NA,9.528861,9.494528,8.778752,10.240000,3.152804,8
64,1000000,768,20000,NA,NA,NA,NA,10.729599,10.677760,9.962496,11.387904,3.232123,8
64,1000000,768,40000,28.13,33.93,NA,NA,12.400753,12.390912,11.706368,12.894208,3.384672,8
128,1000000,768,100,39.06,34.77,23.83,38.15,16.721663,16.692657,16.551935,16.902143,3.077561,8
128,1000000,768,128,NA,NA,NA,NA,16.836680,16.826912,16.665600,16.985088,3.077776,8
128,1000000,768,512,39.17,54.12,24.65,130.16,16.939891,16.939008,16.808960,17.080256,3.080726,8
128,1000000,768,1024,NA,NA,NA,NA,17.089223,17.119696,16.956415,17.143808,3.084719,8
128,1000000,768,2048,39.24,54.27,31.25,NA,17.327293,17.327105,17.155008,17.498112,3.092846,8
128,1000000,768,4096,39.48,54.45,NA,NA,17.795576,17.760256,17.640448,18.015232,3.110733,8
128,1000000,768,10000,39.49,54.71,NA,NA,19.494321,19.450368,19.269632,19.704832,3.165558,8
128,1000000,768,20000,NA,NA,NA,NA,21.827772,21.802496,21.586945,22.165504,3.258214,8
128,1000000,768,40000,39.70,57.16,NA,NA,24.041000,24.039000,23.751000,24.815000,3.480000,8
