batch_size,M,D,k,torch_ms,raft_ms,efficienttopk_ms
64,1000000,768,10,28.22,25.95,12.43
64,1000000,768,32,28.21,25.96,12.45
64,1000000,768,64,28.23,25.98,12.47
64,1000000,768,128,28.21,26.08,12.53
64,1000000,768,256,28.24,26.49,12.60
64,1000000,768,512,28.24,33.05,12.69
64,1000000,768,1024,28.23,33.06,12.78
64,1000000,768,2048,28.24,32.94,12.93
64,1000000,768,4096,28.27,33.04,13.28
64,1000000,768,10000,28.17,33.16,14.72
64,1000000,768,20000,28.23,33.42,16.37
64,1000000,768,40000,28.26,33.78,18.10
