bs,M,D,k,torch_ms,raft_ms,faiss_ms,flashlib_ms,ours_ms
1,1000000,768,100,20.63,20.68,13.03,7.62,5.75
1,1000000,768,512,20.64,20.66,13.65,12.31,5.75
1,1000000,768,2048,20.63,20.66,20.14,NA,5.78
1,1000000,768,4096,20.63,20.66,NA,NA,5.79
1,1000000,768,10000,20.64,20.66,NA,NA,5.81
1,1000000,768,40000,20.64,20.67,NA,NA,6.24
8,1000000,768,100,21.84,21.65,13.81,7.83,5.83
8,1000000,768,512,21.85,22.28,14.43,13.08,5.85
8,1000000,768,2048,21.84,22.29,20.75,NA,5.90
8,1000000,768,4096,21.85,22.29,NA,NA,5.95
8,1000000,768,10000,21.85,22.30,NA,NA,5.99
8,1000000,768,40000,21.88,22.37,NA,NA,6.54
64,1000000,768,100,27.99,25.90,16.52,20.65,8.64
64,1000000,768,512,28.00,32.97,17.25,83.83,8.64
64,1000000,768,2048,27.97,33.00,23.90,NA,8.81
64,1000000,768,4096,28.00,33.07,NA,NA,9.08
64,1000000,768,10000,28.01,33.21,NA,NA,9.81
64,1000000,768,40000,28.13,33.93,NA,NA,12.46
128,1000000,768,100,39.06,34.77,23.83,38.15,17.30
128,1000000,768,512,39.17,54.12,24.65,130.16,17.45
128,1000000,768,2048,39.24,54.27,31.25,NA,17.77
128,1000000,768,4096,39.48,54.45,NA,NA,18.26
128,1000000,768,10000,39.49,54.71,NA,NA,19.84
128,1000000,768,40000,39.70,57.16,NA,NA,24.52
